ALG	DATA SET	PLEN	IT	EJECTIME	NCOM
BF	BINA.txt	16	1	0.026001	1999787
BF	BINA.txt	16	2	0.025948	2001280
BF	BINA.txt	16	3	0.027586	2000032
BF	BINA.txt	16	4	0.027409	1999988
BF	BINA.txt	16	5	0.026956	2000877
BF	BINA.txt	16	6	0.026779	1998092
BF	BINA.txt	16	7	0.028162	2000392
BF	BINA.txt	16	8	0.028140	1999966
BF	BINA.txt	16	9	0.027873	1998408
BF	BINA.txt	16	10	0.025943	1998764
BF	BINA.txt	16	11	0.026936	1999035
BF	BINA.txt	16	12	0.026797	1998060
BF	BINA.txt	16	13	0.025945	1999308
BF	BINA.txt	16	14	0.025935	1999344
BF	BINA.txt	16	15	0.027015	1999529
BF	BINA.txt	16	16	0.026865	2001674
BF	BINA.txt	16	17	0.025980	1998941
BF	BINA.txt	16	18	0.026758	2000235
BF	BINA.txt	16	19	0.026782	1998462
BF	BINA.txt	16	20	0.026898	2002165
BF	BINA.txt	16	21	0.026857	2002755
BF	BINA.txt	16	22	0.026814	1999363
BF	BINA.txt	16	23	0.025982	1998860
BF	BINA.txt	16	24	0.026943	1999185
BF	BINA.txt	16	25	0.026993	1999689
BF	BINA.txt	16	26	0.026750	1997336
BF	BINA.txt	16	27	0.027749	1999821
BF	BINA.txt	16	28	0.025932	1999305
BF	BINA.txt	16	29	0.025932	1999221
BF	BINA.txt	16	30	0.026930	1998614
BF	BINA.txt	16	31	0.026869	1998474
BF	BINA.txt	16	32	0.026887	2001525
BF	BINA.txt	16	33	0.026898	2000109
BF	BINA.txt	16	34	0.027851	1997432
BF	BINA.txt	16	35	0.028222	1999979
BF	BINA.txt	16	36	0.027489	1999646
BF	BINA.txt	16	37	0.028145	2000164
BF	BINA.txt	16	38	0.026814	2000901
BF	BINA.txt	16	39	0.026810	1998158
BF	BINA.txt	16	40	0.027450	2000256
BF	BINA.txt	16	41	0.027091	2000030
BF	BINA.txt	16	42	0.025988	1999083
BF	BINA.txt	16	43	0.025951	2001628
BF	BINA.txt	16	44	0.027888	1997350
BF	BINA.txt	16	45	0.025951	2001552
BF	BINA.txt	16	46	0.026006	2002296
BF	BINA.txt	16	47	0.027925	1998398
BF	BINA.txt	16	48	0.025950	1998583
BF	BINA.txt	16	49	0.025933	1999025
BF	BINA.txt	16	50	0.027050	2002054
BF	BINA.txt	16	51	0.026752	1997476
BF	BINA.txt	16	52	0.025939	1998726
BF	BINA.txt	16	53	0.026748	1999009
BF	BINA.txt	16	54	0.028182	1998967
BF	BINA.txt	16	55	0.027926	1998401
BF	BINA.txt	16	56	0.025954	2001729
BF	BINA.txt	16	57	0.026986	2001637
BF	BINA.txt	16	58	0.027404	2000073
BF	BINA.txt	16	59	0.026862	2001551
BF	BINA.txt	16	60	0.025926	1998706
BF	BINA.txt	16	61	0.025959	2001772
BF	BINA.txt	16	62	0.025988	1999698
BF	BINA.txt	16	63	0.026820	1998987
BF	BINA.txt	16	64	0.027868	1997964
BF	BINA.txt	16	65	0.026869	1999804
BF	BINA.txt	16	66	0.025946	1998273
BF	BINA.txt	16	67	0.026955	1999269
BF	BINA.txt	16	68	0.026902	1999647
BF	BINA.txt	16	69	0.026840	1998950
BF	BINA.txt	16	70	0.026935	2000034
BF	BINA.txt	16	71	0.025930	1999118
BF	BINA.txt	16	72	0.027881	1998633
BF	BINA.txt	16	73	0.027905	1998169
BF	BINA.txt	16	74	0.026950	2001902
BF	BINA.txt	16	75	0.026756	1997629
BF	BINA.txt	16	76	0.026749	1998809
BF	BINA.txt	16	77	0.026822	1998531
BF	BINA.txt	16	78	0.027943	2000083
BF	BINA.txt	16	79	0.025963	2002213
BF	BINA.txt	16	80	0.025947	2001552
BF	BINA.txt	16	81	0.027481	1999713
BF	BINA.txt	16	82	0.027794	1999797
BF	BINA.txt	16	83	0.026008	2002840
BF	BINA.txt	16	84	0.026038	2002763
BF	BINA.txt	16	85	0.026970	2001310
BF	BINA.txt	16	86	0.026960	1999793
BF	BINA.txt	16	87	0.027451	1999547
BF	BINA.txt	16	88	0.026872	1999285
BF	BINA.txt	16	89	0.026765	1998295
BF	BINA.txt	16	90	0.026799	1998126
BF	BINA.txt	16	91	0.027705	2000350
BF	BINA.txt	16	92	0.027679	1999957
BF	BINA.txt	16	93	0.027658	1998942
BF	BINA.txt	16	94	0.025993	2002692
BF	BINA.txt	16	95	0.027438	1999873
BF	BINA.txt	16	96	0.027916	1997984
BF	BINA.txt	16	97	0.027383	2000074
BF	BINA.txt	16	98	0.027302	1998459
BF	BINA.txt	16	99	0.026769	2000244
BF	BINA.txt	32	0	0.026903	2002660
BF	BINA.txt	32	1	0.025972	1998768
BF	BINA.txt	32	2	0.026957	1999539
BF	BINA.txt	32	3	0.025993	1998105
BF	BINA.txt	32	4	0.026966	2000062
BF	BINA.txt	32	5	0.026992	1999458
BF	BINA.txt	32	6	0.026759	1997369
BF	BINA.txt	32	7	0.027992	1999875
BF	BINA.txt	32	8	0.026860	2001609
BF	BINA.txt	32	9	0.027369	2000059
BF	BINA.txt	32	10	0.025960	2002512
BF	BINA.txt	32	11	0.027021	2000237
BF	BINA.txt	32	12	0.026975	1998532
BF	BINA.txt	32	13	0.026931	1998669
BF	BINA.txt	32	14	0.026969	1999900
BF	BINA.txt	32	15	0.026013	1998902
BF	BINA.txt	32	16	0.027033	2001668
BF	BINA.txt	32	17	0.026823	2001126
BF	BINA.txt	32	18	0.026828	2000079
BF	BINA.txt	32	19	0.026867	1999303
BF	BINA.txt	32	20	0.025991	2001730
BF	BINA.txt	32	21	0.026996	2002555
BF	BINA.txt	32	22	0.027724	1997492
BF	BINA.txt	32	23	0.026001	2002741
BF	BINA.txt	32	24	0.026949	1998659
BF	BINA.txt	32	25	0.026772	1998155
BF	BINA.txt	32	26	0.027815	1999721
BF	BINA.txt	32	27	0.026844	2001702
BF	BINA.txt	32	28	0.027415	1999755
BF	BINA.txt	32	29	0.027446	1999904
BF	BINA.txt	32	30	0.026862	1999359
BF	BINA.txt	32	31	0.027661	2000278
BF	BINA.txt	32	32	0.026855	2002646
BF	BINA.txt	32	33	0.026769	1998069
BF	BINA.txt	32	34	0.025994	1998345
BF	BINA.txt	32	35	0.026041	2002778
BF	BINA.txt	32	36	0.025955	2001641
BF	BINA.txt	32	37	0.026955	1999407
BF	BINA.txt	32	38	0.026861	1999874
BF	BINA.txt	32	39	0.025989	2001751
BF	BINA.txt	32	40	0.027441	1999581
BF	BINA.txt	32	41	0.026759	1998781
BF	BINA.txt	32	42	0.026810	1998378
BF	BINA.txt	32	43	0.027578	1998476
BF	BINA.txt	32	44	0.027728	2000093
BF	BINA.txt	32	45	0.026863	2001608
BF	BINA.txt	32	46	0.026785	1998706
BF	BINA.txt	32	47	0.026862	2001660
BF	BINA.txt	32	48	0.026818	2001841
BF	BINA.txt	32	49	0.026814	1999133
BF	BINA.txt	32	50	0.026831	1998694
BF	BINA.txt	32	51	0.026792	1998771
BF	BINA.txt	32	52	0.027588	2000186
BF	BINA.txt	32	53	0.025997	1999151
BF	BINA.txt	32	54	0.027426	2000288
BF	BINA.txt	32	55	0.027580	2000139
BF	BINA.txt	32	56	0.025963	2002721
BF	BINA.txt	32	57	0.025977	1998749
BF	BINA.txt	32	58	0.027919	1998043
BF	BINA.txt	32	59	0.026851	2002153
BF	BINA.txt	32	60	0.026770	2000140
BF	BINA.txt	32	61	0.027295	2000292
BF	BINA.txt	32	62	0.025933	1999358
BF	BINA.txt	32	63	0.026843	1999302
BF	BINA.txt	32	64	0.027021	2000295
BF	BINA.txt	32	65	0.026745	1997211
BF	BINA.txt	32	66	0.026828	1998680
BF	BINA.txt	32	67	0.026787	1998793
BF	BINA.txt	32	68	0.026952	2002342
BF	BINA.txt	32	69	0.025935	1999022
BF	BINA.txt	32	70	0.026840	2000219
BF	BINA.txt	32	71	0.025985	2003139
BF	BINA.txt	32	72	0.027923	1998448
BF	BINA.txt	32	73	0.026000	2001636
BF	BINA.txt	32	74	0.026752	1999613
BF	BINA.txt	32	75	0.028112	1999935
BF	BINA.txt	32	76	0.027493	2000038
BF	BINA.txt	32	77	0.026818	1998654
BF	BINA.txt	32	78	0.027725	1999448
BF	BINA.txt	32	79	0.025940	1998939
BF	BINA.txt	32	80	0.027486	2000092
BF	BINA.txt	32	81	0.027669	2000006
BF	BINA.txt	32	82	0.026853	2002450
BF	BINA.txt	32	83	0.026868	2000290
BF	BINA.txt	32	84	0.026815	1999523
BF	BINA.txt	32	85	0.026895	2002346
BF	BINA.txt	32	86	0.026846	1999395
BF	BINA.txt	32	87	0.026835	1999172
BF	BINA.txt	32	88	0.025993	2003115
BF	BINA.txt	32	89	0.027044	2001587
BF	BINA.txt	32	90	0.026755	1999670
BF	BINA.txt	32	91	0.026017	2002103
BF	BINA.txt	32	92	0.026980	1998756
BF	BINA.txt	32	93	0.026755	1998679
BF	BINA.txt	32	94	0.026841	2001505
BF	BINA.txt	32	95	0.026809	1998067
BF	BINA.txt	32	96	0.026802	1999819
BF	BINA.txt	32	97	0.028155	1999796
BF	BINA.txt	32	98	0.026796	1998691
BF	BINA.txt	32	99	0.026008	2002293
BF	BINA.txt	64	0	0.025992	1998341
BF	BINA.txt	64	1	0.025943	1998784
BF	BINA.txt	64	2	0.027869	1998256
BF	BINA.txt	64	3	0.025974	1998592
BF	BINA.txt	64	4	0.027413	1999626
BF	BINA.txt	64	5	0.025945	1998105
BF	BINA.txt	64	6	0.027036	2002500
BF	BINA.txt	64	7	0.025961	2001563
BF	BINA.txt	64	8	0.025986	1998697
BF	BINA.txt	64	9	0.025956	1998206
BF	BINA.txt	64	10	0.025996	2001657
BF	BINA.txt	64	11	0.025928	1998665
BF	BINA.txt	64	12	0.026983	1999178
BF	BINA.txt	64	13	0.026901	2000052
BF	BINA.txt	64	14	0.027892	1997325
BF	BINA.txt	64	15	0.025973	1998963
BF	BINA.txt	64	16	0.027879	1998326
BF	BINA.txt	64	17	0.026816	2001210
BF	BINA.txt	64	18	0.026893	2001742
BF	BINA.txt	64	19	0.027577	1999246
BF	BINA.txt	64	20	0.026817	2001212
BF	BINA.txt	64	21	0.026844	2001951
BF	BINA.txt	64	22	0.025988	1998766
BF	BINA.txt	64	23	0.026911	1999889
BF	BINA.txt	64	24	0.026902	1999153
BF	BINA.txt	64	25	0.026788	1998738
BF	BINA.txt	64	26	0.026917	2002715
BF	BINA.txt	64	27	0.026899	2000383
BF	BINA.txt	64	28	0.026839	1999221
BF	BINA.txt	64	29	0.026941	1997934
BF	BINA.txt	64	30	0.026850	2002385
BF	BINA.txt	64	31	0.025949	2001596
BF	BINA.txt	64	32	0.025929	1998741
BF	BINA.txt	64	33	0.026030	2002953
BF	BINA.txt	64	34	0.026768	2000402
BF	BINA.txt	64	35	0.026833	1999863
BF	BINA.txt	64	36	0.026814	2001165
BF	BINA.txt	64	37	0.026004	2001913
BF	BINA.txt	64	38	0.026966	2001353
BF	BINA.txt	64	39	0.026891	1999338
BF	BINA.txt	64	40	0.027440	1999609
BF	BINA.txt	64	41	0.028248	2000298
BF	BINA.txt	64	42	0.028125	2000011
BF	BINA.txt	64	43	0.027858	1998115
BF	BINA.txt	64	44	0.027446	1999350
BF	BINA.txt	64	45	0.028207	2000321
BF	BINA.txt	64	46	0.025942	1998852
BF	BINA.txt	64	47	0.025959	2002231
BF	BINA.txt	64	48	0.027489	1999557
BF	BINA.txt	64	49	0.026837	2001429
BF	BINA.txt	64	50	0.026884	2002063
BF	BINA.txt	64	51	0.025985	2002982
BF	BINA.txt	64	52	0.026809	1998248
BF	BINA.txt	64	53	0.026766	1998811
BF	BINA.txt	64	54	0.025965	1998674
BF	BINA.txt	64	55	0.026763	1998506
BF	BINA.txt	64	56	0.026861	1999327
BF	BINA.txt	64	57	0.026814	1998621
BF	BINA.txt	64	58	0.027647	1999452
BF	BINA.txt	64	59	0.027377	2000057
BF	BINA.txt	64	60	0.026858	2000916
BF	BINA.txt	64	61	0.026854	2001292
BF	BINA.txt	64	62	0.026899	2000286
BF	BINA.txt	64	63	0.026786	1998379
BF	BINA.txt	64	64	0.026874	2000251
BF	BINA.txt	64	65	0.026797	1998050
BF	BINA.txt	64	66	0.027629	2000003
BF	BINA.txt	64	67	0.027496	1999520
BF	BINA.txt	64	68	0.025958	2002226
BF	BINA.txt	64	69	0.027004	1999146
BF	BINA.txt	64	70	0.027361	2000032
BF	BINA.txt	64	71	0.027911	1997587
BF	BINA.txt	64	72	0.027934	1998457
BF	BINA.txt	64	73	0.026846	2002058
BF	BINA.txt	64	74	0.026757	2000221
BF	BINA.txt	64	75	0.026891	2001649
BF	BINA.txt	64	76	0.027363	2000198
BF	BINA.txt	64	77	0.025933	1999060
BF	BINA.txt	64	78	0.026993	2002006
BF	BINA.txt	64	79	0.027426	2000109
BF	BINA.txt	64	80	0.025985	1999707
BF	BINA.txt	64	81	0.027124	1999721
BF	BINA.txt	64	82	0.025992	2002712
BF	BINA.txt	64	83	0.026977	1998648
BF	BINA.txt	64	84	0.026795	1997798
BF	BINA.txt	64	85	0.025988	2003026
BF	BINA.txt	64	86	0.027351	2000003
BF	BINA.txt	64	87	0.027570	1998904
BF	BINA.txt	64	88	0.025991	2002633
BF	BINA.txt	64	89	0.027609	2000024
BF	BINA.txt	64	90	0.026865	2000788
BF	BINA.txt	64	91	0.026786	1998775
BF	BINA.txt	64	92	0.026871	1999054
BF	BINA.txt	64	93	0.026815	2001021
BF	BINA.txt	64	94	0.026878	2000081
BF	BINA.txt	64	95	0.027478	2000029
BF	BINA.txt	64	96	0.026787	1998990
BF	BINA.txt	64	97	0.025954	2001883
BF	BINA.txt	64	98	0.027036	2001700
BF	BINA.txt	64	99	0.026046	2002704
BF	BINA.txt	128	0	0.025963	2002466
BF	BINA.txt	128	1	0.026966	2001512
BF	BINA.txt	128	2	0.026868	2000768
BF	BINA.txt	128	3	0.026812	2001324
BF	BINA.txt	128	4	0.025938	1999445
BF	BINA.txt	128	5	0.026938	1998740
BF	BINA.txt	128	6	0.025997	1998726
BF	BINA.txt	128	7	0.026967	2001429
BF	BINA.txt	128	8	0.026761	1998360
BF	BINA.txt	128	9	0.026765	1997224
BF	BINA.txt	128	10	0.028246	2000314
BF	BINA.txt	128	11	0.028188	1999236
BF	BINA.txt	128	12	0.027854	1998178
BF	BINA.txt	128	13	0.028189	2000357
BF	BINA.txt	128	14	0.025985	1999333
BF	BINA.txt	128	15	0.026933	1998470
BF	BINA.txt	128	16	0.026926	1998618
BF	BINA.txt	128	17	0.026997	1999982
BF	BINA.txt	128	18	0.026834	1999944
BF	BINA.txt	128	19	0.025949	2001506
BF	BINA.txt	128	20	0.026943	1999413
BF	BINA.txt	128	21	0.026986	1999140
BF	BINA.txt	128	22	0.025951	2001566
BF	BINA.txt	128	23	0.026845	1999164
BF	BINA.txt	128	24	0.027846	1997188
BF	BINA.txt	128	25	0.027014	2000013
BF	BINA.txt	128	26	0.025931	1999190
BF	BINA.txt	128	27	0.025940	1999034
BF	BINA.txt	128	28	0.025958	2002490
BF	BINA.txt	128	29	0.026831	1998761
BF	BINA.txt	128	30	0.027868	1998037
BF	BINA.txt	128	31	0.028134	1999795
BF	BINA.txt	128	32	0.028172	1999935
BF	BINA.txt	128	33	0.025982	1998655
BF	BINA.txt	128	34	0.026825	1999508
BF	BINA.txt	128	35	0.027870	1998197
BF	BINA.txt	128	36	0.026986	1998610
BF	BINA.txt	128	37	0.026918	1999303
BF	BINA.txt	128	38	0.025985	2002985
BF	BINA.txt	128	39	0.027283	1998778
BF	BINA.txt	128	40	0.026873	2000044
BF	BINA.txt	128	41	0.026817	2001034
BF	BINA.txt	128	42	0.026752	1998176
BF	BINA.txt	128	43	0.025925	1998564
BF	BINA.txt	128	44	0.027416	1998711
BF	BINA.txt	128	45	0.027900	1997452
BF	BINA.txt	128	46	0.026823	1999464
BF	BINA.txt	128	47	0.026955	1999709
BF	BINA.txt	128	48	0.026895	1999435
BF	BINA.txt	128	49	0.026865	2001012
BF	BINA.txt	128	50	0.025936	1999270
BF	BINA.txt	128	51	0.026935	1999888
BF	BINA.txt	128	52	0.026782	1998402
BF	BINA.txt	128	53	0.026764	1998223
BF	BINA.txt	128	54	0.026784	1998945
BF	BINA.txt	128	55	0.026836	1998595
BF	BINA.txt	128	56	0.026957	1999935
BF	BINA.txt	128	57	0.026816	2001421
BF	BINA.txt	128	58	0.026814	2001250
BF	BINA.txt	128	59	0.026944	1999940
BF	BINA.txt	128	60	0.027432	1998909
BF	BINA.txt	128	61	0.026811	2000925
BF	BINA.txt	128	62	0.027583	2000223
BF	BINA.txt	128	63	0.027893	1997268
BF	BINA.txt	128	64	0.027248	1998962
BF	BINA.txt	128	65	0.027445	2000516
BF	BINA.txt	128	66	0.027677	1999946
BF	BINA.txt	128	67	0.027349	1999003
BF	BINA.txt	128	68	0.025980	2002796
BF	BINA.txt	128	69	0.025961	2002295
BF	BINA.txt	128	70	0.025978	1999221
BF	BINA.txt	128	71	0.026751	1997473
BF	BINA.txt	128	72	0.026998	2000020
BF	BINA.txt	128	73	0.026831	1999552
BF	BINA.txt	128	74	0.026936	1999917
BF	BINA.txt	128	75	0.025949	2001340
BF	BINA.txt	128	76	0.026893	2000244
BF	BINA.txt	128	77	0.026884	1999741
BF	BINA.txt	128	78	0.026883	1999993
BF	BINA.txt	128	79	0.026870	2000138
BF	BINA.txt	128	80	0.026777	1998316
BF	BINA.txt	128	81	0.026755	1997511
BF	BINA.txt	128	82	0.026058	2002614
BF	BINA.txt	128	83	0.026810	1998353
BF	BINA.txt	128	84	0.025955	2001695
BF	BINA.txt	128	85	0.025920	1998613
BF	BINA.txt	128	86	0.026002	2001784
BF	BINA.txt	128	87	0.025972	1999022
BF	BINA.txt	128	88	0.026988	2001871
BF	BINA.txt	128	89	0.025949	1998659
BF	BINA.txt	128	90	0.026813	1998320
BF	BINA.txt	128	91	0.026827	1998529
BF	BINA.txt	128	92	0.027569	1999895
BF	BINA.txt	128	93	0.027449	1999891
BF	BINA.txt	128	94	0.027606	2000016
BF	BINA.txt	128	95	0.026856	2000844
BF	BINA.txt	128	96	0.026764	1998257
BF	BINA.txt	128	97	0.026002	2001523
BF	BINA.txt	128	98	0.025967	1998759
BF	BINA.txt	128	99	0.026897	2000405
KMP	BINA.txt	4	0	0.021735	1677793
KMP	BINA.txt	4	1	0.024243	1900581
KMP	BINA.txt	4	2	0.022833	1751375
KMP	BINA.txt	4	3	0.022849	1750611
